turkish,english
"Üstelik onun duygu dünyasını belirlemiş yüzlerce, belki de binlerce film görüntüsü var. Başkalarının küçümsediği, sadece filmlerde olur dediği, gerçekliğinden kuşku duyulabilecek bir gerçekçiliği savunma adına yadsıdığı hikâyelere, farkına varmaksızın inanmasını sağlayan yüzlerce, binlerce görüntüsü...","In addition, she had in her store of imagination hundreds, perhaps thousands of movie impressions; hundreds and thousands that supplied corroborative evidence to substantiate the actuality of the episodes devalued by others claiming that such actions were only seen in films."
"Gel bakalım İnce Memed, şu yeni tüfeğini bir tecrübe et!","see, Slim Memed! Try that new gun."
"""Ben de bilmiyorum.""","“I don’t know, either.”"
"Bir de resmi değil, resmettiği atı güzel bulmak vardır. At resmine bir resme bakar gibi değil, bir ata bakar gibi bakmak.""","Then there’s finding out that it’s not the image of the horse, but the horse itself that’s beautiful; that is, seeing the illustration of the horse not as an illustration, but as a true horse.”"
Bir şey beklediğimi niye söylemiştim?,Why had I said that I was waiting?
Bu duruşun nedenlerini bulmakta ya da daha doğru bir deyişle buradaki sıcaklığı anlamakta çok fazla zorlanmamıştım.,"I hadn’t had any difficulty in finding out the cause of this behavior, of this warmth."
"Elimdeki aynanın çerçevesine işlenmiş beyitte, şair aynaya bakana sonsuz güzellik ve sonsuz bir aydınlık, aynaya da sonsuz bir ömür diliyordu.","In the couplet worked into the frame of the mirror, the poet had wished the observer eternal beauty and wisdom — and eternal life to the mirror itself."
"Sabahat, hıçkırarak koşar adım odasına çıkarken, Mehpare'ye tosladı.","As Sabahat was rushing up the stairs to her room, she encountered Mehpare."
Champ-Elysees şimdiden ışıklar içindeydi.,The Champs-Elysées was lit up in all its glory.
"Emine’nin bir gece bütün tutum fikirlerini yenerek Zehra’nın entarisini ve Ahmet’in ayakkabısını düşünmeden gitmeğe razı olduğu bir eğlence yerinde, her zamanki çocuk saflığıyla, “Ayol, bunlar insan değil, melek” diye beğendiği sarışın ve kumral, buğday tenli kızlar, kadınlar da böylece kahvemizin mahremiyetine fokstrot adımlarla ve tango kıvranışlarıyla, dağılmış saçları kalçalarını döve döve, nefes nefese zafer çığlıkları atarak, genç küheylânlar gibi girdiler, tavla şakırtılarını, hayalimizde birbiri ardınca patlatılan şampanya şişelerinin gürültüsü örttü.","There was one night when Emine relinquished all concern for frugality, agreeing to step out for an evening of entertainment without first considering the state of Ahmet’s shoes or Zehra’s blouse, and it was then that we heard of the fair-skinned blondes and brunettes about whom, Emine exclaimed, in her eternal naivete, “Good gracious! They’re angels, not humans.” Like pureblood Arab mares they pranced into the little domain of our coffeehouse, dancing the foxtrot or writhing their way through a tango, their loosened hair thrashing against their hips, and cried out in breathless triumph as we uncorked imaginary bottles of champagne in our minds, thus drowning out the slap of backgammon pieces in the background."
Takribî Ahmet Efendi ailesinin bu son erkeği hangi düşüncenin peşinden yürüyerek buraya varmıştı?,Here was the last man in the line of Ahmet Efendi the Some Timer—what had driven him to this point?
Daima bir kaçamak yolu bulabilirdi.,He could always find a way out.
"Etrafa göz gezdirdiğimiz zaman, kulübelerin birinin önünde ihtiyar bir kadının ellerini kaldırmış, ayakta, kulübeye zorla girmek isteyen aznavur gibi bir adama mâni olmaya çalıştığını gördük.","On our left was a raised mound on which a few huts had been built, and in front of one of them stood an old woman, her arms stretched out, her feet planted firmly on the ground, protecting the entrance against a big rough man who with shouts and blows was trying to get through the forbidden door."
Oyunlarımla artık kurtulmak istemediğim tutkularım var... Oyunlarımla artık kurtulmak istemediğim tutkularım...,my plays and passions which I no longer want to dispose of . . .
Irklar arasında nefret gün geçtikçe artıyordu.,The feeling of hatred between the different races was almost phenomenal in those days.
Hürriyete gidiyorsun.,You’re heading toward freedom.
Gözlerinde güzel bir ışık parladı.,A beautiful light shone in his eyes.
"Selva, piyano dersi verdiği iki küçük kızı, aileleri ülke dışına kaçtıkları için kaybetmişti ama 'garip kuşun yuvasını Allah yapar' sözünü ispatlarcasına, Amerika'ya kapağı atmayı planlayan Museviler, çocuklarının ingilizce öğrenimine hız vermeye başlamışlardı.","Selva lost two of her students when their Jewish parents decided to leave the area, but that turned out to be a blessing in disguise. Other parents who were planning to escape to America wanted Selva to teach their children."
"Mazallah buna benzer bir hadise başına gelse, kayınvalidesinin zil takıp oynayacağını düşündü Rose.","If anything close to that ever happened to her, thought Rose, her motherin-law would be thrilled."
"Hanımefendinin ise uğradığı acı dolu şaşkınlıkla arkasından şaşkın şaşkın etrafa bakmaktan başka ne bir harekete gücü kaldı ne de ""Kaderimde bugünleri görmek de mi vardı?"" umutsuz feryadından başka bir söz söylemeye dili vardı.","The wretched woman had no power to move, but just enough to gaze after her son. “Was I destined to see this day?” she could only say, but no other words."
"Sabah oluyor, İstanbul uyanıyordu.",It was already morning; life was stirring in the street.
"Hazinedarbaşı memnun yerinden kalktı, odanın öbür ucundaki bir rahleden bir tomar kâğıt alıp getirdi, önüme koydu ve sanki oda karanlıkmış gibi, tombul mumlarının alevleri dalgalanarak yanan iki büyük şamdan yerleştirdi yanı başıma. O resimlerdi bunlar.","Pleased, the Head Treasurer rose, grabbed a number of pages from the worktable at the other end of the room and arranged them in front of me. Next, as if the room were dark, he placed beside me two large candle holders whose portly tapers burned with bobbing and twittering flames so I could study the paintings in question."
"Geçer bre Çavuş, dedi: Köye varırsak yakı yaptırırım ellerine.","""It'll pass, Sergeant. When we get to the village, I'll ask them to prepare some ointment for your hands."""
Belalı bir karanlık vardı. Böceklerin ötüşünden başkaca da çıt yoktu.,It was very dark and there was no other sound but the chirping of insects.
"Onun için sokak, ev, şehir, daima ikinci, üçüncü derecede şeylerdi.","For him, streets, homes, and the entire cities were themselves always secondary and tertiary points of considerations."
Niye kamış kalem der buna kimi şairler?,Why did some poets call this thing a “reed pen?”
Bize sadece maddî hayatımızı tanzim etmek kalıyor.,It falls to us to simply organize our material lives.”
Bu ayrılığın hikâyesine bir daha dönmeyecektik.,We would no longer revert to the story of this separation.
"Bu hikâyenin onun dağarcığında kalmış, başka yerlerde başka insanlar için yazılmış hikâyelerden biri olup olmadığını düşünebilirdim örneğin bir kez daha.","I might have asked myself once again whether this was another story stored away in his memory, written elsewhere for other people."
"""Ya öyle,"" diye onayladı Asya.","""Yeah,"" Asya added."
"""Efendim, madem burada bahtiyarlığımızı tesit ediyoruz, bari müjdemizi de şimdi verelim,"" dedi Hilmi.","“Seeing as we are toasting the family, I would like to share some good news,” Hilmi said."
Bir vicdan azabı çektiğinden değil.,"Not because of a pang of conscience, though."
"Bu serüvende, ‘yazı’mın bu kıyısında uzun yıllar yürümüştüm ne de olsa.","In this odyssey of mine, I had been skirting the coast of my writing over several years with a view to finding out, or rediscovering, the feelings that had guided me throughout my life."
"Bacakları çok uzun, ince yapılı, rengi yeşile çalan, duman gibi, hani duman arkasından görünen ağaç yeşili var ya, onun gibi, boynu, gagası gövdesinden ayrı dedirtecek kadar uzun bir kuş vardır.","There is a bird with long legs, finely shaped, a yellowish gray like smoke, or rather almost green like trees seen through smoke, its neck so long that beak and body seem separate."
Konuşurken hep İhsan’ın repertuvarını sarfettiğinin farkındaydı.,"And he realized, as he spoke, that he was poaching from İhsan’s repertoire."
"O akşam dördümüz de doyasıya, ‘filmi koparana kadar’ bira içmek istemiştik... Berti ülkesine dönmüştü.",The four of us had drained bumpers till we became dead drunk. Berti had gone back home.
Güz güneşi bütün parlaklığıyla dünyayı doldurmuştu.,The autumn sun brought out the bright colors of everything.
"- Hayır, hayır...",“No! Not at all . . .”
VIII,VIII
Deniz ve yosun kokan o güzel sonbahar günlerinden biriydi.,It was one of those autumn days that smell of the sea.
İhsan evdeydi.,İhsan was home.
Çünkü bu kapının arkasında Nuran vardı.,For behind this door also loomed Nuran.
Ölüm bile bizim kadar kısır değildir.” Hakikaten çocukken oynamasını o kadar sevdiği ve ömrünün sonuna kadar seveceği bir balçık parçası bu kayaların yanında ne kadar canlıydı.,"Even death is not as barren as we.” Verily, next to these rocky outcroppings how vibrant was a lump of clay, clay that he so loved to play with as a boy and would always love."
İhsan eliyle her mânaya gelebilecek bir işaret yaptı.,With his hand İhsan made a gesture that might mean anything.
Macide mavilikler içindeki yolculuğundan bir lahza vazgeçti:,"Macide temporarily quit her blue voyage: “İhsan, do you remember the solitude of the evening lightning, you know, when we looked out from the Green Mosque ."
"""Sahi neden sürekli evliliğimize burnunu sokup durdun?""","""Why did you constantly snoop into our marriage?"""
Kimi yakınlarıyla istese de istemese de karşılaştığı yer böyle bir yerdi işte.,This was the place where he encountered his next-of-kin regardless of whether he wanted to or not.
"Kimi insanların, tüm farklılıklarına karşın benzer ‘yazgıları’ paylaşabileceğini söylemek elbette mümkündü.","It was certainly possible that people, despite their diversity, shared similar fates."
"Onun, babasının zenginliği sayesinde evlenip de biraz rahata kavuştuğu zaman ortaya kocası Salim Bey çıkmıştı.","After this sister was married off—their father was rather wealthy —Nevzat Hanim at last had room to breathe, but almost at once her own future husband, Salim Bey, entered the picture."
Bu sayede kıraathanesini bir nevi kulüp yapmıştı.,And thanks to him the coffeehouse became a kind of clubhouse.
İçerde ise Behice cesaretini toplayıp konuşmuştu sonunda. Sesi emrediciydi.,"Back in the harbor master’s office, Behice plucked up the courage to speak."
"Geleceğe yönelik tasarılar, o sofrada, o gece, birçok geceninkinden çok daha fazla konuşulmuştu, paylaşılmak istenmişti öyleyse bu durumda.","That night, more than any other, future designs must have constituted the main topic of discussion."
"""Sigaran var mı, Mehpare?"" dedi Behice.",“Have you got a cigarette?” Behice asked her.
"Herkes kendine göre, biraz daha büyümüştü elbet.",Everybody had grown up in their own way.
"İskelede, bir kayığa mı, yoksa vapura mı binmek daha uygun olacağını tartıştık.","The question was, should we take a caique (a kind of small gondola on the Bosphorus) or the ferry-boat?"
"Karısının günlerce bir yabancı adamın karşısında çıplak... Hayır, hayır elbette çıplak değil...","Not really naked, of course."
"Bitmez tükenmez münakaşalar, tecrübeler yapılırdı. Hemen her üç günde bir yukarı âlemden gelen tebliğler yayınlanır, onlar tefsir edilir, çok âlimane fikirler söylenirdi.","At our lively and unruly meetings, we found common cause in the world beyond, from which dispatches arrived almost twice a week, and our deliberations on their possible meanings were not without merit."
"Paçavralar içinde, uzun boylu bir tinerci çocuk vardı baktığı noktada; çıplak, kararmış ayaklarını marşın temposuyla indirip kaldırırken plastik bir torbadan tiner çekiyordu.","It was a lanky lad in rags, inhaling glue from a plastic bag while stomping his naked, blackened feet in time to the rhythm of the anthem."
"""Korkuyorum.""",“I’m afraid.”
"Yarın Bey'iniz bağa gider, kerhaneci önüne biraz rakı koyar, kız getirmek bahanesiyle oradan savuşur.","When the man goes to the vineyard tomorrow, the woman serves the raki and then leaves the room to bring some girls."
"""Vaiz Hoca Efendi Hazretleri'ne uzanan dilini kesin şunun"" deyip bu işi yapmaya girişmişler miydi?","I wonder, had they said, “Cut out his tongue so he never again slanders his Excellency the Preacher Hoja Effendi,” and then set about doing so?"
"Yirmi üç dakika, yirmi üç saat gibi gelmişti Rafo'ya.","“Twenty-three minutes, it feels like twenty-three hours.”"
Hayatının her safhasında karısını yanında görmek ihtiyacındaydı.,Each moment of his life he needed his wife beside him.
"""Nihayet bayıldınız bayılmasına da valla heR an tekRaR başlamayacağınızdan emin olamadık. DoktoR bey bekleyelim dedi, kafası netleşene kadaR bekleyelim.","""And when you finally blacked out it was so hard to believe that you wouldn't start shrieking again, the doctor said, let's wait till her mind is clear."
"Sözün er ya da geç kime, dahası nereye geleceği belliydi.",Where all these things would lead to sooner or later and who would be implicated in the long run was evident.
On beş gün sonra açılacak mektepte derslerine başlayacaklardı. 80,Their classes would start in fifteen days.
Amma sen de kadrini bilmelisin.,But you must come to know its true worth.
Tren durdu.,The train had stopped.
"Eğer öküzlere bir şey olmuşsa, onda kemik komaz kırarım.","If anything has happened to the oxen, I'll break every bone in his body."
Rabia ertesi akşam odasına döndü. Fakat hep yere yatak yapıp yatıyor.,"Rabia returned to her room, but she continued to sleep on the floor in a separate bed."
"Dilaşub'la yuvasının ruhani, vicdani ne kadar mutluluğu varsa beraber gideceğini nereden bilsin.)",How could she know that all joy of spirit and conscience of her household would disappear together with the Dila§ub?
Levent-Gülsüm Kazancı çiftinin ilk üç çocuğu kız olmuştu.,The first three children were all girls.
"Kim bilir, neler gelmiştir fıkaranın başına?","""Who knows what troubles have come upon her?"""
"İçinden hıçkıra hıçkıra ağlamak geliyordu ama, dudaklarını ısırıp uzaklara baktı gözpınarlarma toplanan yaşlan göstermemek için.","She wanted to cry, but she bit her lip and averted her eyes, trying to stop the tears from running down her cheeks."
"Önce ufacık taşlı bir tarlaya düştüler. Sonra, keskin bir kayalığı aştılar. Kayalığın arkasına dinlenmek için oturdular. Üçü de yan yana... Sokulmuşlar.","First they came to a small stony field, then crossed an area of sharp rocks, beyond which they sat down to rest, all three in a row, close together, leaning against each other."
Benim kınalı kızım tüfekten korkar...,My poor girl's afraid of weapons.
"""Ah mın-el aşk!""","""Love!"""
Gülümseyerek türküyü dinlediler:,Smilingly they listened to the song.
Bütün çocukluğu bir kuş kafesi gibi bu ney sesleri içinde geçmişti.,Her entire girlhood had passed in a birdcage of melodies made by that flute.
"Oğlan, anasının gözlerinden gözlerini kaçırdı.",He avoided his mother's eyes.
"Hulâsa, rakıyı da, Büyükdere’yi de tanıyordum.",So I was familiar with both Buyukdere and raki.
"Olga’nın bu oyunu, Henri’nin o umarsızlığı, pek az kişinin yaşayabileceği o yıkımı son yıllarında biraz daha kolay taşımasına yönelikti öncelikle...","It had become easier for Olga to face this in view of Henry’s indifference and defeat, during his last years only a few people could put up with him."
Üstat Osman belli ki aldırmıyordu artık pek çok şeye.,"Obviously, Master Osman was overlooking quite a lot."
"Evita İspanyolca ‘küçük Eva’ demekti... Jacob’un geldiği, en azından doğduğu coğrafyada yaşayan Yahudiler çocuklarına annelerinin ya da babalarının isimlerini bir tek şartla verirlerdi.","‘Evita’ meant, ‘Little Eva’ ."
"""Bana verilen talimat böyle efendim.",“Those are my orders.
Halit Bey senin bütün gençliğinde hep hamakta uyuduğunu söylüyordu.,Halit Bey told me that throughout your entire childhood you slept in a hammock.
Denizin üstünde bir köy kadar vapurlar yüzer. Dünyanın öteki ucuna gider.,"On the sea, ships as big as villages go to the other end of the world."
Hilmi’nin babasından bahsederken sesinde hâsıl olan acılık belki bu defa daha derindi.,"As usual, it was my father who had to exile him.” A note of bitterness had crept into Hilmi’s voice, as it always did whenever he spoke of his father."
Zararı yok.,"""It doesn't matter."
"Fakat başladığı zaman, neticenin sadece bir burjuvazi hâkimiyeti ile biteceğini kim bilirdi.","However, in the beginning, who would have guessed that the end result would have been bourgeois rule?"
Daha fazla görmesine lüzum yokmuş gibi acele acele yürümeğe başladı.,"With no need to look any longer, Mümtaz began to walk briskly."
"Bu sırada, bir aptal da halkı bu kadar sıkacak adamı nereden bulacağını sorduğunda, Padişah öfkelenmiş; gücünden şüpheye düşenleri cezalandıracağını söyleyerek korkutmuş herkesi.","At that moment some fool had asked where one would find enough men to control the populace to this degree, and the sultan became furious; he frightened everyone by saying he’d punish anyone who doubted his power."
Köprü’nün üstünden askerî bir bando geçiyor. Bütün halk ayağını uydurmuş arkasından yürüyor.,"A military band passed, and the crowd walked in step with its tune."
"— Nen var, Rabia?","“What is it, Rabia?"
"Politikadaki hürriyet, bir yığın hürriyetsizliğin anahtarı veya ardına kadar açık duran kapısıdır.",The political pursuit of freedom can lead to its eradication on a grand scale—or rather it opens the door to countless curtailments.
Hatçeye uzun uzun baktı.,He looked at Hatche for a long time.
"""Alo... evet, evet benim Selva Kırımlı, beyefendi sizi rahatsız ediyorum ama, bugün ben sizinle konuşurken, bir yakınımı götürmüşler, hem de küçük oğluyla birlikte... Kocamın ortağının anne tarafından kuzini olur, istanbullu bir ailedirler...""","“Hello…yes, yes, it’s me, Selva Kırımlı, Mr. Kender. I’m sorry to disturb you but apparently, as I was seeing you this afternoon, they took away someone very close to me, together with her son. Actually, she’s my husband’s business partner’s cousin."
"Belki bütün yaz böyle geçecekti. Bereket versin ki, mahallî hükümetin müdahalesiyle iş sona erdi.","Quite possibly the entire summer would have carried on like this had it not been for the local council,"
"İçimden aşağıya inip, fısıldayarak Hayriye'yi azarlamak geliyordu, ama merdivenleri inerken elimdeki lambanın ıslak basamakları, aceleden silemediğim kan damlalarını aydınlatacağını düşündüm.","I had the urge to go down and admonish Hayriye in a whisper, but I was afraid that as I was going downstairs, the oil lamp I carried would illuminate the wet steps and the drops of blood I’d missed in my haste."
"Fakat asıl dikkat ettiği şey, ihtiyar kadının konuşma tarzıydı.",But the manner of the matron’s speech really drew his curiosity.
Toprakta bir ıslaklık vardı. Toprağa oturdular.,The earth was damp where they sat and rested.
Selva indi Benoit'nın kucağından.,Selva asked Benoit to put her down.
Biraz sonra kendimi karanlık gecede bir bayırdan aşağıya inerken buldum.,A little later I found myself walking down a hill in the darkness of night.
Arkamdan kenefe girip oturağı boşalttı.,He entered the outhouse after me and emptied the pot.
"""Ya!"" demişti Margot. içini çekmişti.",“Oh!” Margot said with a sigh.
"Sabiha kardeşine eliyle bir öpücük yollayıp dışarı çıktı ve hemen koşarak geri döndü, geldi, kardeşine sarıldı,",Sabiha blew her sister a kiss and followed her mother out of the room.
"Açık bir kapıdan, ustalarının azarladığı genç öğrencilerin yaptıkları yanlışı anlamak için kıpkırmızı yüzlerini önlerindeki kâğıtlara değdirircesine yaklaştırdıklarını gördüm.","Through an open door, I witnessed young students being reprimanded as they leaned forward, their noses almost touching the pages spread before their reddened faces, as they tried to understand the mistakes they’d made."
Ali Safa Bey sözünü yarıda bıraktı:,Ali Safa Bey cut him short.
"""Pederinizi çok iyi gördüm, çocuklar,” diyordu Behice.","“Girls, your father looked well,” she said."
"Belden yukarısı çıplaktı, aynanın karşısına geçmiş, üzerine lâmbanın ışığı vuran göğsünü ve karnını dikkatle inceliyordu.","He was standing in front of the mirror, naked from the waist up, carefully examining his chest and abdomen in the light of the lamp."
"Konya, birkaç gün için, bir köylü hükûmeti kurmuştu.",They formed a peasant government of their own in Konia which functioned for a few days till Colonel Refet’s forces reached the town.
"Yahut da aradığımız şeyin yerini herhangi bir eskicinin çehresi, insanı çıldırtan dikkati, burun bükmesi alıyordu.","Or even worse, we were haunted by the peddler’s face, with its snub nose and maddening, greedy leer."
"— Evde hiç babandan bahsederler mi, Rabia? Acaba ağzını mı arıyordu?","“Do they ever speak of your father at home?”’ Rabia gulped, and nearly lost the rehearsed artificiality of her manner and voice."
"Mustafa Kemal Paşa’nın anormal denilecek bir enerjisi olduğu için, sabahleyin uyurdu. Fakat, Dr. Adnan saat sekizde vazifeye gitmeye mecburdu.","For, as usual at critical times, Mustafa Kemal Pasha with his abnormal energy worked all night, but he could sleep in the morning, while Dr. Adnan had to go out at eight."
"Ne kadar zaman geçmişti bilmiyorum; berberin mahir parmakları ve küçük dükkânı tatlı tatlı ısıtan mangalın sıcaklığı ile erimiş, hayatın, onca eziyetten sonra, bugün sanki karşılıksız bir şekilde birdenbire bana en büyük hediyeyi sunuvermesi üzerine, yüce Allah'a şükran ve yarattığı âlemin hangi esrarlı terazinin dengesinden çıktığına derin bir merak ve biraz sonra efendisi olacağı evde yatağında ölü yatan Enişte'ye de bir keder ve acıma duyarak harekete geçmeye hazırlanıyordum ki, berberin sürekli açık duran kapısında bir hareket oldu, dönüp baktım: Şevket!","I’m not certain how much time had passed. I melted into the warmth of the brazier that gently heated the small shop and the barber’s adept fingers. With life having suddenly presented me the greatest of gifts today, as if for free, and after so much suffering, I felt a profound thanks toward exalted Allah. I felt an intense curiosity, wondering out of what mysterious balance this world of His had emerged, and I felt sadness and pity for Enishte, who lay dead in the house where, a while later, I would become master."
"La-kin şunu bil ki, her an vazgeçebilirsin.","Please know, however, that you can change your mind at any time."
"Hiç olmazsa vapurda olup olmadıklarına dair bir malumat verilse ailelere,"" diyordu Faik Bey'in hanımı.","The least the authorities could do is tell us if they are on the ship or not,” Faik Bey’s wife said."
"""Biliyorum,"" dedi, ama kederle söylememişti bunu.","“I know,” he said without sorrow."
"""Kusura bakma. Kendimi tanıtmayı unuttum. Adım Rose.""","""Oh, I am sorry I forgot to introduce myself My name is Rose."""
Muhittin'den onu İstanbul'a yollaması için babasını ikna etmesini rica etmişti.,She had asked Muhittin to persuade her father to let her go.
"O kadar çok patırtı çıkardı ki, Madonna'nm sesini bastırdığı gibi insanları da başına topladı. Oradan geçen yayalar ve şemsiye satıcıları ne menem bir bela koptuğunu görmek için toplaştılar. Bu arada kimse fark etmedi ama deminden beri Zeliha'nın peşine takılmış ikinci bir tacizci, manyak bir kadına bulaşmaktan çekindiği için takibinden vazgeçti.","As she drowned out Madonna, the pedestrians and umbrella vendors gathered to see what kind of trouble was brewing, In the turmoil, the stalker behind her flinched, knowing better than to mess with a madwoman."
"Memed korkarak, büzülerek, belediye bahçesinin yanında, yukarı doğru giden bir köylüyü durdurdu:",Timidly Memed stopped a villager who was going past the town-hall garden and asked him the way to the prison.
"Selva, Tarık'ın yelek cebinden saatini çıkarıp baktığını görünce muzip bir ifadeyle sordu:",Tarık took out his pocket watch to check the time.
"""Öğreneceğini öğrendi.",“She has learned enough.
"Paşa yapacağı düğünün eşsiz olacağını söylüyordu, bir de fişek gösterisi hazırlatacakmış, ama bundan öncekilere hiç benzememeliymiş yapılacak şey.","The pasha was saying that the wedding he planned would be unparalleled, and he would have a fireworks display, but it must be quite unlike any other."
"Seni fazla şımarttılar. Çok şımarıksın, kıymetli çük!","Spoiled, you are too spoiled, precious phallus!"
"Kapı eşiğini geçip, beni görünce Kara, birkaç adım atıp durdu Böylece, aramızda beş altı adım karşılıklı bakıştık.","Black passed through the doorway and saw me, then took a few more steps and stopped. We stood five paces apart and beheld each other."
"Evlenmesinden evvel, hattâ daha küçük yaşlarda, evde yalnız kızıyla, Tevfik Beyi kafa dengi arkadaş tanıyan babası ile beraber lüfere çıkarlardı.","Before she’d married, and even when younger, her father, who considered his daughter and Tevfik his only like-minded cohorts in the house, would take them fishing for bluefish."
"Kadınlar, birer hıçkırıkla cevap verdiler. Abdi Ağa:",The women answered him with a wail.
"Hiç üzülme sen Ağa, dedi.","""Don't fret, Agha."
"Hiçbir şeye dokunmadan acele acele evden çıktım, mahallenin boş sokaklarında yürürken hafif bir rüzgâr esti, içimden ellerimi yıkamak geliyordu, nereye gideceğimi biliyordum, memnundum.","Without touching anything, I left the house in a hurry. A light breeze blew as I walked down the empty streets of the neighbourhood. I had an impulse to wash my hands, I knew where I would go, I was content."
"Neden dövdün çocuğu şimdi, Allahaşkına?",Why are you being so hard on the boy?
"""Hayriye,"" dedim.","“Hayriye,” I said."
Hangi balığın hangi mevsimde ve nerede en iyi avlanacağını ve filan ayda ele geçen turfa veya tam mevsimlik balıkla ne yapılacağını hiç kimse onun kadar bilemezdi.,"No one knew better than him which fish was best caught in which season and locale, and what dishes could be prepared with an early seasonal offering or with seafood during such and such a month."
"Bütün kış, bir gün bile etsiz kalmamışlardı.",All through the winter they had never lacked meat.
Sadece hâdiselerin üzerinde düşünebilmek kudretini kaybetmişti.,He’d just lost the strength to contemplate the news.
"Bir çam ağacına bağlayacağım onları, altından ateş vereceğim.",I'll bind them to a pine tree and set fire to it.
"Metih veya zem, Saatleri Ayarlama Enstitüsü’nden bahsedilirken daima bir hakikat unutulmuştur. O da bu müessesenin benim şahsımla, hattâ mazimle olan sıkı bağlılığıdır.","Like those who criticize the Time Regulation Institute, those who praise it always overlook one fundamental aspect: the strong connection it has to my person—in fact to my past."
"""Her şeyi zamana bırak,"" demişti Selva, ""uzakta yaşayacağımız için bizi özleyecekler, birbirimize bağlılığımız kanıtlandıkça yumuşayacaklar.","“Time will heal everything,” Selva said. “They are bound to miss us when we live abroad. Surely they will mellow when they see how solid our relationship is."
"Zaten böyle şeylerden bahsetmeyeceğimi, maziyi hiç hatırlatmayacağımı biliyordu.","But she knew I wouldn’t bring up such things, that I wouldn’t remind people of the past."
"Rafo ve Selva, Beyoğlu Evlendirme Dairesi'nde, bir Eylül gü- ! l nü, iki şahidin ve sadece birkaç arkadaşlarının huzurunda evlenmişlerdi.","Selva and Rafo were married that September at the Beyoğlu registry office in Istanbul, in the presence of two witnesses and a handful of friends."
"Fakat onunla biraz daha beraber kalmak için fıstık ağaçlarına kadar çıkmayı teklif etmiş, orada geceyi beklemişlerdi.","But to stay with him a while longer, she suggested he accompany her to the pistachio trees, where they waited together for night to descend fully."
Birbirlerinin varlığına sarılmış yürüyorlardı.,"As they walked, they embraced one another’s presence."
"Mahalle boşaldıktan sonra bir gün âşık Çelebi de karısını, çocuklarını alıp başka yere taşınınca, sim tenli güzel ile kocası yapayalnız kalırlar.","After the neighborhood empties out, one day the lovelorn Chelebi also moves away with his wife and children, leaving the silver-skinned beauty and her husband all alone."
"""Psikolojik tedavilere inanmayanlardan mısınız, yoksa?""",“Are you someone who doesn’t believe in psychological treatment?”
"Köprünün başında, öbür taraftan bir alay insanın kendisine bayrak ve el salladığını görmüştü.",At the far end of Kerede bridge he saw a large crowd waving white flags and calling to him.
"Ama o, sadece Sandra’yla birlikte dans etmemizi seyretmekle yetinmez, bize hareketlerimizi hızlandırmak için, tüm esnekliğiyle, şarkı söyleyerek katılırdı.","She wasn’t content with watching our steps, but contributed also to our rhythmic movement by clapping her hands to the accompaniment of a cadence to accelerate our tempo."
"Elbette böyle bir adamla karşılaşma, göz göze gelme bir uğur, bir saadetti.","To meet such a man, to look him directly in the eye—this was without doubt an auspicious event and a great source of happiness."
"Yanlışlarla doğruların zaman zaman değişebileceğini, yer değiştirebileceğini bizlere bir kez daha hatırlatabilecek bir duygu...",An awareness that would remind one once more of the fact that truths and wrongs are steeped in our shadows at times.
